title,score,author,time,source
Woman Rides Bicycle To 183.9 MPH — A New World Record,185,BEARlovesCOOKIE,Tue Sep 18 20:23:51 2018 UTC,npr.org
"EU migrant workers contribute £2,300 more per year to UK than average British citizen, study reveals - 'If the UK’s new relationship with Europe involves reduced migration, this analysis suggests the tax burden on others will have to rise'",1118,ManiaforBeatles,Tue Sep 18 10:31:15 2018 UTC,independent.co.uk
"The iOS & Android spyware used by government to spy on journalists, human rights defenders, opposition politicians, etc found deployed in 45 countries",112,suf0x,Tue Sep 18 22:54:17 2018 UTC,zdnet.com
'Fort Trump'? Polish President urges US to consider opening base,126,UpsetDistribution,Tue Sep 18 21:49:06 2018 UTC,edition.cnn.com
"After five years of indefinite detention, children on Nauru are now suicidal: UN hears",•,Rational_Debate,Wed Sep 19 01:57:12 2018 UTC,hrlc.org.au
Israel bars EU Parliament delegation from entering Gaza,169,wy888,Tue Sep 18 18:46:57 2018 UTC,middleeastmonitor.com
"'Now or never' battle to save Indonesia’s endangered orangutans as British companies still using 'dirty' palm oil: Activists prepare to reveal 'proof' that brands such as Cadbury’s, Dove and Colgate buy from suppliers razing rainforests at alarming rate",3176,maxwellhill,Tue Sep 18 03:09:18 2018 UTC,independent.co.uk
SpaceX: We’ll Consider Launching Space Weapons If Asked,462,iga666,Tue Sep 18 13:08:30 2018 UTC,defenseone.com
US imposes new $200bn tariffs on China,14.8k,mvanigan,Mon Sep 17 22:42:35 2018 UTC,bbc.co.uk
The Eighth Amendment which effectively banned abortion in the Republic of Ireland has been formally repealed,68.6k,alfosn,Tue Sep 18 20:08:20 2018 UTC,bbc.com
"Russian 'fake news' machine going mad, says French envoy to U.S.",27.8k,stone_dog,Tue Sep 18 15:30:01 2018 UTC,reuters.com
Truck filled with 157 rotting bodies is dumped behind a housing complex by Mexican officials after morgues ran out of room amid an epidemic of violence,4418,Olmectron,Tue Sep 18 13:36:04 2018 UTC,dailymail.co.uk
Pyongyang: North and South Korean Leaders Reportedly Preparing to Declare End of Korean War,1755,PoliticsBeepBooper,Tue Sep 18 16:49:51 2018 UTC,democracynow.org
